# Region type :   patch outlet
# Faces           : 20
# Area            : 2.2500000000e-05
# Scale factor    : 1.0000000000e+00
# Time            	areaIntegrateU
0.002             	1.0030628771e-06 1.2212583444e-12 0.0000000000e+00
0.004             	1.4126535781e-06 3.2623288596e-13 0.0000000000e+00
0.006             	1.7444016797e-06 5.5367166474e-14 0.0000000000e+00
0.008             	2.0250631444e-06 1.0363459394e-15 0.0000000000e+00
0.01              	2.2630878881e-06 -9.2883645728e-15 0.0000000000e+00
0.012             	2.4671605042e-06 -8.0873942968e-15 0.0000000000e+00
0.014             	2.6429289981e-06 -5.1107727603e-15 0.0000000000e+00
0.016             	2.7945226106e-06 -2.5098932516e-15 0.0000000000e+00
0.018             	2.9252864725e-06 -1.0122237331e-15 0.0000000000e+00
0.02              	3.0380790076e-06 -3.9486498301e-16 0.0000000000e+00
0.022             	3.1353446419e-06 -5.1248326632e-17 0.0000000000e+00
0.024             	3.2191752209e-06 4.7050223228e-17 0.0000000000e+00
0.026             	3.2913981767e-06 6.2394149878e-17 0.0000000000e+00
0.028             	3.3535773303e-06 5.6239801172e-17 0.0000000000e+00
0.03              	3.4070638975e-06 -2.0038890119e-18 0.0000000000e+00
0.032             	3.4530570186e-06 1.1190420838e-17 0.0000000000e+00
0.034             	3.4926104003e-06 3.3761261642e-17 0.0000000000e+00
0.036             	3.5265917415e-06 8.9872255047e-17 0.0000000000e+00
0.038             	3.5557807353e-06 2.0815468128e-16 0.0000000000e+00
0.04              	3.5808396581e-06 4.2356397063e-16 0.0000000000e+00
0.042             	3.6023506984e-06 7.5618782917e-16 0.0000000000e+00
0.044             	3.6208159232e-06 1.3094697892e-15 0.0000000000e+00
0.046             	3.6366583729e-06 2.1749766724e-15 0.0000000000e+00
0.048             	3.6502467005e-06 3.3574176531e-15 0.0000000000e+00
0.05              	3.6618989694e-06 4.7715878885e-15 0.0000000000e+00
0.052             	3.6718884716e-06 6.0640140202e-15 0.0000000000e+00
0.054             	3.6804515121e-06 6.6231976129e-15 0.0000000000e+00
0.056             	3.6877897701e-06 5.5225364578e-15 0.0000000000e+00
0.058             	3.6940769201e-06 2.1945880925e-15 0.0000000000e+00
0.06              	3.6994633285e-06 -3.2782131677e-15 0.0000000000e+00
0.062             	3.7040769329e-06 -1.0376410992e-14 0.0000000000e+00
